eps,F_in_circuit,F_in_analytic,P_success_circuit,P_success_analytic,F_out_circuit,F_out_analytic,eps_prime_circuit,eps_prime_analytic,gain_circuit,purity_out,C_in,C_out,N_in,N_out,abs_err_P_success,abs_err_F_out,abs_err_eps_prime
0.038,0.9714999999999996,0.9715,0.9440829999999995,0.944083,0.9997132137746363,0.9997132137746364,0.00038238163381828133,0.000382381633818213,0.028213213774636703,0.9994265372110582,0.9429999999999952,0.9994264275495315,0.4714999999999996,0.4997132137746363,5.551115123125783e-16,1.1102230246251565e-16,6.830473686658678e-17
0.04,0.9699999999999995,0.97,0.9411999999999993,0.9411999999999999,0.9996812579685508,0.9996812579685508,0.00042498937526562014,0.0004249893752656184,0.029681257968551256,0.9993626513990786,0.9400000000000003,0.9993625159369176,0.46999999999999975,0.4996812579685508,6.661338147750939e-16,0.0,1.734723475976807e-18
0.042,0.9684999999999997,0.9685,0.9383229999999995,0.938323,0.9996475094397131,0.9996475094397131,0.0004699874137158074,0.0004699874137157461,0.03114750943971345,0.9992951845455534,0.9370000000000036,0.9992950188795321,0.4684999999999998,0.49964750943971337,5.551115123125783e-16,0.0,6.1257422745431e-17
0.044,0.9669999999999996,0.967,0.9354519999999993,0.935452,0.9996119522968574,0.9996119522968575,0.0005173969375234696,0.0005173969375232508,0.03261195229685776,0.9992241053684086,0.9339999999999973,0.9992239045935458,0.46699999999999975,0.4996119522968576,6.661338147750939e-16,1.1102230246251565e-16,2.187919984075748e-16
0.046,0.9654999999999997,0.9655,0.9325869999999995,0.932587,0.9995745705226428,0.999574570522643,0.0005672393031429893,0.000567239303142763,0.034074570522643066,0.999149382365606,0.930999999999998,0.9991491410453524,0.4654999999999998,0.49957457052264287,5.551115123125783e-16,2.220446049250313e-16,2.262729933977248e-16
0.048,0.9639999999999995,0.964,0.9297279999999992,0.9297279999999999,0.9995353479727402,0.9995353479727405,0.0006195360363463465,0.0006195360363461142,0.035535347972740716,0.9990709838141562,0.9279999999999979,0.9990706959454623,0.46399999999999975,0.49953534797274035,6.661338147750939e-16,2.220446049250313e-16,2.3223610534639505e-16
0.05,0.9624999999999996,0.9625,0.9268749999999994,0.926875,0.9994942683749156,0.9994942683749157,0.0006743088334458432,0.0006743088334457182,0.03699426837491604,0.9989888777691336,0.9250000000000009,0.9989885367497422,0.4624999999999998,0.49949426837491573,5.551115123125783e-16,1.1102230246251565e-16,1.2500851048757866e-16
0.052000000000000005,0.9609999999999995,0.961,0.9240279999999993,0.924028,0.9994513153281067,0.9994513153281069,0.0007315795625243796,0.0007315795625240796,0.038451315328107194,0.9989030320627061,0.9220000000000018,0.9989026306563099,0.46099999999999963,0.49945131532810705,6.661338147750939e-16,2.220446049250313e-16,2.999987411267391e-16
0.054,0.9594999999999997,0.9595,0.9211869999999994,0.9211870000000001,0.9994064723014977,0.9994064723014979,0.0007913702646697255,0.0007913702646693884,0.03990647230149802,0.9988134143031677,0.9190000000000031,0.9988129446029995,0.4594999999999998,0.49940647230149793,6.661338147750939e-16,2.220446049250313e-16,3.3707845542574333e-16
0.056,0.9579999999999996,0.958,0.9183519999999993,0.9183520000000001,0.9993597226335869,0.9993597226335871,0.0008537031552175259,0.0008537031552171716,0.041359722633587226,0.9987199918739821,0.9159999999999997,0.9987194452671805,0.4579999999999995,0.4993597226335871,7.771561172376096e-16,2.220446049250313e-16,3.5431726996826285e-16
0.058,0.9564999999999997,0.9565,0.9155229999999995,0.9155230000000001,0.9993110495312514,0.9993110495312515,0.000918600624998156,0.0009186006249979519,0.0428110495312517,0.9986227319328344,0.9129999999999999,0.9986220990624836,0.4564999999999998,0.4993110495312516,5.551115123125783e-16,1.1102230246251565e-16,2.0404684886177193e-16
0.06,0.9549999999999996,0.955,0.9126999999999993,0.9127000000000001,0.9992604360688067,0.9992604360688069,0.0009860852415911243,0.000986085241590884,0.04426043606880703,0.9985216014106916,0.9100000000000013,0.9985208721376312,0.45499999999999974,0.4992604360688069,7.771561172376096e-16,2.220446049250313e-16,2.402592014227878e-16
0.062,0.9534999999999996,0.9535,0.9098829999999994,0.909883,0.9992078651870623,0.9992078651870625,0.0010561797505836228,0.0010561797505833166,0.04570786518706271,0.998416567010874,0.9069999999999989,0.9984157303741873,0.4534999999999998,0.4992078651870625,5.551115123125783e-16,2.220446049250313e-16,3.0617869350990645e-16
0.064,0.9519999999999995,0.952,0.9070719999999992,0.907072,0.9991533196923729,0.9991533196923729,0.0011289070768361793,0.0011289070768362379,0.04715331969237335,0.998307595208137,0.9040000000000002,0.9983066393846466,0.45199999999999974,0.499153319692373,7.771561172376096e-16,0.0,5.854691731421724e-17
0.066,0.9504999999999997,0.9505,0.9042669999999993,0.904267,0.9990967822556832,0.9990967822556833,0.0012042903257557154,0.0012042903257555569,0.048596782255683535,0.9981946522477582,0.9009999999999992,0.998193564511209,0.4504999999999997,0.4990967822556832,7.771561172376096e-16,1.1102230246251565e-16,1.5851035761738075e-16
0.068,0.9489999999999996,0.949,0.9014679999999994,0.901468,0.9990382354115729,0.9990382354115732,0.0012823527845694886,0.0012823527845691695,0.05003823541157326,0.9980777041446443,0.8979999999999994,0.9980764708231674,0.44899999999999973,0.499038235411573,6.661338147750939e-16,3.3306690738754696e-16,3.191891195797325e-16
0.07,0.9474999999999997,0.9475,0.8986749999999996,0.898675,0.9989776615572926,0.9989776615572927,0.001363117923609843,0.001363117923609759,0.05147766155729294,0.9979567166824408,0.8950000000000011,0.9979553231146862,0.4474999999999998,0.4989776615572926,4.440892098500626e-16,1.1102230246251565e-16,8.391724815037804e-17
0.07200000000000001,0.9459999999999996,0.946,0.8958879999999994,0.895888,0.9989150429517974,0.9989150429517976,0.0014466093976034007,0.001446609397603272,0.05291504295179783,0.9978316554126571,0.8920000000000002,0.9978300859035937,0.44599999999999973,0.49891504295179745,6.661338147750939e-16,1.1102230246251565e-16,1.2858637765678083e-16
0.074,0.9444999999999996,0.9445,0.8931069999999994,0.893107,0.9988503617147776,0.9988503617147778,0.0015328510469632128,0.0015328510469630177,0.05435036171477803,0.9977024856538048,0.8889999999999997,0.9977007234295945,0.4444999999999997,0.4988503617147778,5.551115123125783e-16,2.220446049250313e-16,1.951563910473908e-16
0.076,0.9429999999999997,0.9430000000000001,0.8903319999999996,0.890332,0.9987835998256828,0.9987835998256831,0.001621866899089645,0.0016218668990893284,0.05578359982568304,0.9975691724905446,0.8860000000000008,0.9975671996514168,0.4429999999999997,0.4987835998256829,4.440892098500626e-16,3.3306690738754696e-16,3.165870343657673e-16
0.078,0.9414999999999997,0.9415,0.8875629999999994,0.887563,0.9987147391227438,0.9987147391227439,0.0017136811696749632,0.001713681169674716,0.05721473912274411,0.9974316807728513,0.8829999999999986,0.9974294782455053,0.4414999999999999,0.498714739122744,5.551115123125783e-16,1.1102230246251565e-16,2.47198095326695e-16
0.08,0.9399999999999996,0.94,0.8847999999999994,0.8848,0.9986437613019888,0.9986437613019892,0.001808318264014878,0.0018083182640144665,0.05864376130198923,0.997289975115186,0.8799999999999997,0.9972875226039791,0.4399999999999997,0.49864376130198895,6.661338147750939e-16,3.3306690738754696e-16,4.115631446754975e-16
