p,eps0,n,F,C
0.15,0.1,30,0.7181259702141485,0.43625194042829707
0.15,0.1,31,0.718125957057431,0.43625191411486197
0.15,0.1,32,0.7181259490578622,0.436251898115724
0.15,0.1,33,0.7181259441939513,0.43625188838790224
0.15,0.1,34,0.7181259412365882,0.4362518824731762
0.15,0.1,35,0.7181259394384472,0.43625187887689443
0.15,0.1,36,0.7181259383451386,0.43625187669027704
0.15,0.1,37,0.7181259376803832,0.4362518753607667
0.15,0.1,38,0.7181259372761978,0.43625187455239517
0.15,0.1,39,0.7181259370304441,0.4362518740608879
0.15,0.1,40,0.7181259368810204,0.4362518737620414
0.15,0.5,0,0.625,0.25000000000000006
0.15,0.5,1,0.6497675024143826,0.2995350048287653
0.15,0.5,2,0.6708658389377384,0.34173167787547687
0.15,0.5,3,0.6867732919120352,0.3735465838240704
0.15,0.5,4,0.6979234846786674,0.3958469693573349
0.15,0.5,5,0.7053692992342612,0.41073859846852295
0.15,0.5,6,0.7101804048916351,0.4203608097832702
0.15,0.5,7,0.7132212551556714,0.42644251031134256
0.15,0.5,8,0.7151156724502962,0.43023134490059206
0.15,0.5,9,0.7162850299570668,0.4325700599141332
0.15,0.5,10,0.7170026595367894,0.4340053190735787
0.15,0.5,11,0.7174414834553797,0.43488296691075945
0.15,0.5,12,0.7177092263732557,0.43541845274651164
0.15,0.5,13,0.7178723648227419,0.4357447296454835
0.15,0.5,14,0.7179716843973627,0.43594336879472506
0.15,0.5,15,0.7180321201771327,0.4360642403542655
0.15,0.5,16,0.7180688839424794,0.4361377678849588
0.15,0.5,17,0.7180912435771993,0.43618248715439895
0.15,0.5,18,0.718104841109715,0.4362096822194293
0.15,0.5,19,0.7181131095870392,0.43622621917407867
0.15,0.5,20,0.7181181373265262,0.4362362746530522
0.15,0.5,21,0.7181211944215157,0.43624238884303146
0.15,0.5,22,0.7181230532459888,0.4362461064919776
0.15,0.5,23,0.7181241834679704,0.4362483669359408
0.15,0.5,24,0.71812487067349,0.4362497413469794
0.15,0.5,25,0.7181252885115758,0.4362505770231511
0.15,0.5,26,0.7181255425670126,0.4362510851340249
0.15,0.5,27,0.7181256970385284,0.4362513940770568
0.15,0.5,28,0.7181257909606699,0.43625158192133917
0.15,0.5,29,0.7181258480674085,0.4362516961348169
0.15,0.5,30,0.7181258827895584,0.43625176557911666
0.15,0.5,31,0.7181259039013834,0.4362518078027664
0.15,0.5,32,0.7181259167378327,0.43625183347566504
0.15,0.5,33,0.7181259245426727,0.4362518490853453
0.15,0.5,34,0.718125929288185,0.43625185857636967
0.15,0.5,35,0.718125932173559,0.43625186434711843
0.15,0.5,36,0.7181259339279293,0.4362518678558587
0.15,0.5,37,0.7181259349946245,0.436251869989249
0.15,0.5,38,0.718125935643198,0.4362518712863962
0.15,0.5,39,0.7181259360375449,0.4362518720750896
0.15,0.5,40,0.7181259362773162,0.43625187255463266
0.15,0.8,0,0.3999999999999998,0.0
0.15,0.8,1,0.4198015164545771,0.0
0.15,0.8,2,0.4437612746387771,0.0
0.15,0.8,3,0.4719238059341476,0.0
0.15,0.8,4,0.5038880263192421,0.007776052638484243
0.15,0.8,5,0.5385748189209784,0.07714963784195669
0.15,0.8,6,0.5741243818038089,0.14824876360761774
0.15,0.8,7,0.6081110340295346,0.216222068059069
0.15,0.8,8,0.6381446167944119,0.276289233588824
0.15,0.8,9,0.6626095611633884,0.32521912232677685
0.15,0.8,10,0.6810753349554843,0.36215066991096867
0.15,0.8,11,0.6941414253483993,0.3882828506967984
0.15,0.8,12,0.702936657072009,0.4058733141440183
0.15,0.8,13,0.7086489820497168,0.4172979640994331
0.15,0.8,14,0.7122702510075931,0.4245405020151861
0.15,0.8,15,0.7145300393347318,0.4290600786694635
0.15,0.8,16,0.7159262218537921,0.43185244370758397
0.15,0.8,17,0.7167834946232379,0.43356698924647574
0.15,0.8,18,0.7173078599753249,0.43461571995064996
0.15,0.8,19,0.7176278465851007,0.4352556931702013
0.15,0.8,20,0.7178228353387733,0.43564567067754656
0.15,0.8,21,0.7179415516089432,0.4358831032178862
0.15,0.8,22,0.7180137923096567,0.4360275846193136
0.15,0.8,23,0.7180577378433621,0.4361154756867242
0.15,0.8,24,0.7180844656493177,0.4361689312986359
0.15,0.8,25,0.718100719670667,0.43620143934133376
0.15,0.8,26,0.7181106035493937,0.4362212070987873
0.15,0.8,27,0.7181166135601477,0.43623322712029544
0.15,0.8,28,0.7181202679235891,0.43624053584717787
0.15,0.8,29,0.7181224899097501,0.43624497981950083
0.15,0.8,30,0.7181238409453645,0.43624768189072954
0.15,0.8,31,0.7181246624116115,0.43624932482322354
0.15,0.8,32,0.7181251618835833,0.4362503237671665
0.15,0.8,33,0.7181254655743561,0.4362509311487121
0.15,0.8,34,0.7181256502252913,0.4362513004505818
0.15,0.8,35,0.7181257624971951,0.43625152499438963
0.15,0.8,36,0.7181258307609946,0.43625166152198924
0.15,0.8,37,0.7181258722668822,0.4362517445337643
0.15,0.8,38,0.7181258975033677,0.43625179500673533
0.15,0.8,39,0.7181259128477003,0.43625182569540033
0.15,0.8,40,0.7181259221773879,0.4362518443547757
0.19,0.1,0,0.9249999999999999,0.8499999999999993
0.19,0.1,1,0.7465048588674192,0.4930097177348386
0.19,0.1,2,0.672815815754932,0.3456316315098639
0.19,0.1,3,0.6279934553907736,0.2559869107815469
0.19,0.1,4,0.5963050797216792,0.19261015944335844
0.19,0.1,5,0.5719199590261302,0.1438399180522606
0.19,0.1,6,0.5520873512021084,0.10417470240421675
0.19,0.1,7,0.5353115574241666,0.07062311484833314
0.19,0.1,8,0.5206980245416258,0.04139604908325145
0.19,0.1,9,0.5076736456418562,0.015347291283712594
0.19,0.1,10,0.49585165774459905,0.0
0.19,0.1,11,0.48496028285634135,0.0
